-h	chi_max	step	t	delta	relChange	mx	S	mxerr	E0err	E0	mz
0.95	48	9100.0	22.342	1e-05	2.30465706749e-06	0.569737881909	0.100391009089	0.0498339047755	2.00048028587e-07	-1.24326550422	0.747524399594
0.977241589907	48	9100.0	22.342	1e-05	2.95800150776e-06	0.600887636191	0.154996878535	0.02822313262	2.35442915164e-07	-1.25919703904	0.678656356698
0.98314753143	48	9100.0	22.342	1e-05	3.14791229174e-06	0.60862701776	0.177255450286	0.0224767793606	2.44845964614e-07	-1.26276843999	0.65388594712
0.987227726583	48	9100.0	22.342	1e-05	3.29784961748e-06	0.614321595215	0.198299141024	0.0181420496228	2.51926959516e-07	-1.26526325571	0.631777536256
0.99054534703	48	9100.0	22.342	1e-05	3.43611278654e-06	0.619236964473	0.221576060602	0.0143215810783	2.58153824317e-07	-1.2673094081	0.608593100451
0.993462004716	48	9100.0	22.342	1e-05	3.5755562454e-06	0.623850367719	0.250625724096	0.0106623378974	2.64098073854e-07	-1.26912215466	0.581275673912
0.996154289349	48	9100.0	22.342	1e-05	3.72824048719e-06	0.62847007128	0.293132736539	0.00691597684684	2.70156720994e-07	-1.27080785384	0.544064253983
0.998730174621	48	31400.0	245.342	1e-05	3.91899128649e-06	0.633484394635	0.383461456062	0.00272999238837	2.76893195927e-07	-1.27243298985	0.473813462065
1.0	48	2000000.0	5912.37499973	1e-05	2.11520649585e-09	0.636587366255	0.644968313991	3.24061129592e-05	2.83364683495e-07	-1.27323926137	0.306225902113
1.00126982538	48	43300.0	364.342	1e-05	4.2296170169e-06	0.639748563379	0.727348559514	0.00272577906766	2.85900829011e-07	-1.27404977037	0.000153234481336
1.00384571065	48	9100.0	22.342	1e-05	4.4120640884e-06	0.644727272093	0.633610382589	0.0068929362098	2.92321193029e-07	-1.27570428697	8.90275957767e-07
1.00653799528	48	9100.0	22.342	1e-05	4.55224346069e-06	0.64928024795	0.587749547818	0.0106051782693	2.98553148648e-07	-1.27744630483	2.36653766456e-07
1.00945465297	48	9100.0	22.342	1e-05	4.67513682412e-06	0.653791866075	0.555363164224	0.0142138817703	3.04794822714e-07	-1.27934669455	1.21498793101e-07
1.01277227342	48	9100.0	22.342	1e-05	4.79178404685e-06	0.658557813655	0.5285652111	0.0179621021121	3.11434562805e-07	-1.28152372154	6.77536223181e-09
1.01685246857	48	9100.0	22.342	1e-05	4.91207403712e-06	0.664024023701	0.503479980709	0.0221894549209	3.19109783486e-07	-1.28422204284	1.59753323581e-09
1.02275841009	48	9100.0	22.342	1e-05	5.05466299357e-06	0.671353828224	0.475797344464	0.0277495748392	3.29504675767e-07	-1.28816566676	6.94820867888e-10
1.05	48	9100.0	22.342	1e-05	5.45469119366e-06	0.699622700962	0.40014322177	0.0481743829604	3.70796804816e-07	-1.30685609947	1.33742991434e-10
